"Sample","20230511_IARPA_ST_TCX_TL_ALL_024_sample 006","20230511_IARPA_ST_TCX_TL_ALL_026_sample 008","20230511_IARPA_ST_TCX_TL_ALL_081_sample 047","20230511_IARPA_ST_TCX_TL_ALL_048_sample 022","20230511_IARPA_ST_TCX_TL_ALL_051_sample 025","20230511_IARPA_ST_TCX_TL_ALL_078_sample 044"
,"1. d25_sham","1. d25_sham","1. d25_sham","2. Pre_sham","2. Pre_sham","2. Pre_sham"
"a73","0.084715541","0.094851106","0.156239068","0.061704882","0.078268639","0.054218755"
"a74","0.451714824","0.456052818","1.008898508","0.289116788","0.406917419","0.236552174"
"a75","1.112809632","1.638462781","1.14151066","1.133985909","1.420210766","0.733652408"
"a76","0.809397293","1.172811556","1.151653454","0.657612766","1.045855518","0.666419793"
"a77","0.998944073","1.278674431","1.371048889","0.873100852","0.871303572","0.70784781"
"a78","0.84873164","1.034987887","1.253504324","0.802163564","0.977009258","0.667638663"
"a79","0.962337318","1.386031562","1.578475289","1.116483286","1.201917757","0.75703005"
"a80","0.229574697","0.347282012","0.388258372","0.561108148","0.506554757","0.383353019"
"a81","0.32267932","0.35240445","0.610098461","0.202382488","0.338353577","0.145036874"
"a82","0.090584943","0.043028924","0.053612575","0.052105761","0.046727325","0.0228548"
"a83","0.168194842","0.212919056","0.22201023","0.1006275","0.120304728","0.105569758"
"a84","0.012303515","0.044022082","0.056572177","0.038847916","0.029881283","0.006114347"
"a85","0.014268335","0.064034337","0.097855466","0.047037456","0.099119712","0.08255753"
"a86","0.718786868","1.113825947","0.997472504","0.870529057","1.014710459","1.059375141"
"a87","1.498584765","1.594598826","1.30327869","0.833513492","1.235338089","0.923969086"
"a88","1.22376338","1.500209607","0.777011097","2.157976721","1.510364649","0.902334531"
"a89","1.196897758","1.762227703","0.435052803","0.460738688","0.506836833","0.276924805"
"a90","2.702556896","3.312328545","0.662154203","0.439815459","0.574051464","0.24780887"
"a91","0.381836759","1.203433312","0.759473735","0.412320491","0.872179429","0.232052797"
"a92","1.314518553","1.781164274","1.969015077","0.521415089","1.170485733","0.399689033"
"a93","0.534999991","2.0482493","1.190113606","0.961903396","0.736618505","0.701342614"
"a94","0.952121497","3.913544475","1.341386845","1.509757943","0.737819907","1.264233425"
"a95","2.070482472","2.065270064","0.94150495","2.330480447","1.841649912","1.03973691"
"a96","1.122146706","1.607050104","0.830510024","2.496603141","1.605144564","1.507495129"
"a97","0.611832711","0.522140755","0.963738286","0.870634749","0.574549602","0.393830536"
"a98","1.572889136","0.866940472","0.948105491","1.345071294","0.467915817","0.341575334"
"a99","1.522243452","0.651908357","4.546223646","2.139582896","0.873595541","0.283546796"
"a100","1.318932048","0.955384218","2.638890421","0.703828283","0.966398317","0.943142187"
"a101","2.579962083","1.238765883","1.43658221","1.004395589","0.754175628","0.726774822"
"a102","1.519329071","2.322184618","1.201867745","0.864953311","0.503628843","1.356567106"
"a103","0.784129146","2.019173154","0.756623242","1.668133392","2.443389379","0.68610049"
"a104","2.936347716","2.60347868","1.586074606","0.868333512","1.492800753","0.656180391"
"a105","2.314587883","3.610731395","2.118128401","0.618026447","1.724582272","0.525936634"
"a106","4.731295369","3.763370764","2.911813069","0.774860213","1.980148301","0.381093357"
"a107","3.575885601","3.329135942","2.037625925","1.032705777","2.265205859","0.83446448"
"a108","1.260139926","1.460449084","1.12465804","0.443065882","2.197439015","1.731494815"
"a109","0.878501729","0.645090241","2.186391922","0.531636298","2.55323403","0.763315466"
"a110","2.040602023","1.981810859","0.879819924","1.450686945","1.745834368","1.029669389"
"a111","2.846631295","1.326281629","1.232397876","1.204961175","1.112328365","0.955887857"
"a112","2.449254014","1.794877986","1.663883799","0.872557181","1.353522644","0.999087373"
"a113","1.478102151","0.585340692","0.692066424","1.552987995","0.89470954","0.401335847"
"a114","1.409955335","1.200646462","0.656721811","1.2854806","0.294702701","0.369050064"
"a115","2.623757525","1.176257078","0.731599005","1.035981652","0.413373142","0.366881202"
"a116","5.474511802","1.81966646","0.872166285","2.441209423","1.135472527","0.739613543"
"a117","3.787671328","1.502202947","1.213162937","7.140164321","1.831153822","0.979515351"
"a118","1.106982251","0.931284558","1.229544899","2.861618365","0.858926344","1.46164778"
"a119","1.036934656","0.975852615","0.890348815","2.083781952","0.942024787","0.780921295"
"a120","0.832799629","0.600852388","0.881398904","2.199031468","1.211649856","0.78890479"
"a121","1.682688686","0.899802786","0.45178048","0.930564104","1.386904088","1.729263378"
"a122","2.52961894","0.71036779","2.255793525","0.701604326","1.25988082","0.387745863"
"a123","0.637087987","1.169196298","1.339665398","0.484351307","0.077538564","0.660733282"
"a124","0.64861764","0.82323446","1.108358775","0.57702416","0.688163981","1.240499857"
"a125","1.00835197","1.012941758","1.078435434","0.738845474","0.994575316","0.953934939"
"a126","0.502779258","1.990642906","1.47576813","0.427715942","0.579039134","2.98075421"
"a127","0.441450871","2.195551246","1.638506172","0.479894901","0.492141417","2.875729761"
"a128","1.881449585","0.550349927","1.992975304","0.485892489","0.792713047","0.91414712"
"a129","1.582515582","0.43984604","1.765784631","0.407135713","0.615800776","0.214883671"
"a130","0.412683515","2.929984336","3.307684903","0.869360441","0.358957599","1.08220845"
"a131","0.240221993","3.09005331","7.437962113","0.953136564","0.55504882","0.740037433"
"a132","2.668199282","2.159783015","3.814522815","0.925654345","0.984987193","1.592369198"
"a133","1.443132026","2.204379241","3.380390417","1.092210211","0.741977891","1.885122097"
"a134","0.862254382","0.404820026","0.950337256","0.46089404","0.284683421","0.14883161"
"a135","1.179633087","0.369376602","0.961719408","0.526668153","0.404673414","0.350344399"
"a136","0.754232896","0.282150595","1.04524043","1.087938515","2.358068854","0.657704121"
"a137","0.7563336","1.348893515","0.702386915","1.202312713","3.12347329","1.213387294"
"a138","0.849088786","1.022200952","0.716417796","1.513007567","1.971728054","1.432253239"
