"Sample","20230511_IARPA_ST_TCX_TL_ALL_041_sample 019","20230511_IARPA_ST_TCX_TL_ALL_075_sample 041","20230511_IARPA_ST_TCX_TL_ALL_076_sample 042","20230511_IARPA_ST_TCX_TL_ALL_048_sample 022","20230511_IARPA_ST_TCX_TL_ALL_051_sample 025","20230511_IARPA_ST_TCX_TL_ALL_078_sample 044"
,"1. d4_sham","1. d4_sham","1. d4_sham","2. Pre_sham","2. Pre_sham","2. Pre_sham"
"a1","1.009546635","0.967354397","0.906122124","0.781693889","2.085624712","1.031878815"
"a2","0.863490578","0.87641717","0.64906771","0.873994733","1.36649423","0.8827778"
"a3","1.214959525","0.864374763","1.060375503","1.829097581","2.101791289","1.511142908"
"a4","0.596827625","1.445383039","2.489849628","0.902633624","1.954148212","1.482770352"
"a5","0.91185486","0.887246325","1.076800775","0.639647383","1.237648403","1.025454529"
"a6","1.158122974","0.770461118","0.923084648","0.82732183","1.22495702","0.075520019"
"a7","1.512159823","0.524146363","1.046707431","0.482845284","1.218159565","0.724050247"
"a8","0.895008565","1.516352304","1.037667276","0.924452693","1.366632617","0.818348877"
"a9","1.273242797","0.937161927","1.702654427","0.860214113","1.637006826","1.028542199"
"a10","1.461717572","0.868149807","1.365120295","1.096667105","1.349836587","0.766268612"
"a11","1.505156227","0.810087116","1.041298257","1.430504955","1.853354104","1.277556796"
"a12","0.630548017","0.456599172","0.868638013","0.631051557","0.360166438","0.507915652"
"a13","1.123142743","0.644965754","1.45123163","1.102284631","1.846037114","0.988760638"
"a14","0.954677273","1.049192042","1.304798433","1.353238443","2.239832753","1.164427427"
"a15","1.480870179","0.922639135","1.47668639","1.089094013","1.677195129","1.310166361"
"a16","1.899699507","1.093385443","2.075954884","0.782746287","2.473584246","0.938623335"
"a17","0.355176827","0.38275039","0.269632127","0.243009465","0.739884716","0.246309666"
"a18","0.899033402","0.713535834","0.853183293","0.854709584","0.956963689","0.893305963"
"a19","0.712966713","0.495254089","0.612240847","0.702097418","0.509051825","0.714082707"
"a20","0.694647705","0.653360187","0.071445401","0.117994652","0.117671468","0.099907295"
"a21","0.524120772","0.397998886","0.259801977","0.207217388","0.258038572","0.230545905"
"a22","0.693882444","0.66824176","0.125103218","0.123008737","0.185224526","0.187773688"
"a23","0.537354297","0.540696306","0.267164107","0.351991335","0.293022607","0.20173905"
"a24","0.916291159","0.629455163","0.320382066","0.395130092","0.538129921","0.428623506"
"a25","0.306131568","0.539505651","0.175730764","0.193373441","0.206448371","0.090369889"
"a26","0.549682962","0.704211731","0.449849186","0.59857671","0.546111703","0.351881199"
"a27","0.162889201","0.545412923","0.010400543","0.050556613","0.009621347","0.003091835"
"a28","0.181892299","0.245216899","0.023385313","0.045458369","0.039000818","0.012048455"
