"Sample","20230511_IARPA_ST_TCX_TL_ALL_028_sample 010","20230511_IARPA_ST_TCX_TL_ALL_069_sample 039","20230511_IARPA_ST_TCX_TL_ALL_122_sample 076","20230511_IARPA_ST_TCX_TL_ALL_048_sample 022","20230511_IARPA_ST_TCX_TL_ALL_051_sample 025","20230511_IARPA_ST_TCX_TL_ALL_078_sample 044"
,"1. d1_sham","1. d1_sham","1. d1_sham","2. Pre_sham","2. Pre_sham","2. Pre_sham"
"a1","2.95648293","0.939620098","1.033882568","0.781693889","2.085624712","1.031878815"
"a2","2.210016134","1.28275651","0.702384632","0.873994733","1.36649423","0.8827778"
"a3","3.199880704","1.488030701","0.838508747","1.829097581","2.101791289","1.511142908"
"a4","2.98003036","1.198886638","0.693600688","0.902633624","1.954148212","1.482770352"
"a5","1.197051257","1.304867036","0.645357741","0.639647383","1.237648403","1.025454529"
"a6","3.073569399","0.653909512","0.713069494","0.82732183","1.22495702","0.075520019"
"a7","5.381762052","1.199354657","0.296061023","0.482845284","1.218159565","0.724050247"
"a8","2.034997735","1.074112476","0.133460364","0.924452693","1.366632617","0.818348877"
"a9","2.527050885","1.334483294","0.421199465","0.860214113","1.637006826","1.028542199"
"a10","2.828138245","1.116251315","0.802975222","1.096667105","1.349836587","0.766268612"
"a11","2.3935652","1.273581546","0.620492091","1.430504955","1.853354104","1.277556796"
"a12","6.299107908","0.483855962","0.283474679","0.631051557","0.360166438","0.507915652"
"a13","2.492009666","0.888985777","0.856720929","1.102284631","1.846037114","0.988760638"
"a14","1.538885976","1.451796819","0.668122531","1.353238443","2.239832753","1.164427427"
"a15","1.960137873","1.03472295","0.893753541","1.089094013","1.677195129","1.310166361"
"a16","2.219787973","1.425621783","0.89982754","0.782746287","2.473584246","0.938623335"
"a17","6.357350278","0.18108161","0.250545892","0.243009465","0.739884716","0.246309666"
"a18","1.737472659","0.606248358","0.745782292","0.854709584","0.956963689","0.893305963"
"a19","6.165577997","0.371041349","0.507477466","0.702097418","0.509051825","0.714082707"
"a20","17.95228143","0.063715484","0.108578708","0.117994652","0.117671468","0.099907295"
"a21","9.782439207","0.130345454","0.176131211","0.207217388","0.258038572","0.230545905"
"a22","21.24439487","0.104997479","0.112548263","0.123008737","0.185224526","0.187773688"
"a23","8.75240017","0.289372425","0.326542284","0.351991335","0.293022607","0.20173905"
"a24","8.162882216","0.433123878","0.467218244","0.395130092","0.538129921","0.428623506"
"a25","3.15617134","0.305234241","0.201514833","0.193373441","0.206448371","0.090369889"
"a26","3.782139705","0.615202433","0.592136324","0.59857671","0.546111703","0.351881199"
"a27","2.894390976","0.037524423","0.064201784","0.050556613","0.009621347","0.003091835"
