"Sample","20230511_IARPA_ST_TCX_TL_ALL_033_sample 011","20230511_IARPA_ST_TCX_TL_ALL_080_sample 046","20230511_IARPA_ST_TCX_TL_ALL_083_sample 049","20230511_IARPA_ST_TCX_TL_ALL_048_sample 022","20230511_IARPA_ST_TCX_TL_ALL_051_sample 025","20230511_IARPA_ST_TCX_TL_ALL_078_sample 044"
,"1. d11_sham","1. d11_sham","1. d11_sham","2. Pre_sham","2. Pre_sham","2. Pre_sham"
"a1","0.957559156","1.033596182","1.099864794","0.781693889","2.085624712","1.031878815"
"a2","1.06083176","0.715844729","1.19628592","0.873994733","1.36649423","0.8827778"
"a3","1.212661749","1.104463991","1.247405835","1.829097581","2.101791289","1.511142908"
"a4","1.409208659","1.64992352","1.934624994","0.902633624","1.954148212","1.482770352"
"a5","0.814863166","0.863605484","1.49251749","0.639647383","1.237648403","1.025454529"
"a6","1.509982364","0.455618273","0.833110983","0.82732183","1.22495702","0.075520019"
"a7","0.553720289","1.235068544","0.752748749","0.482845284","1.218159565","0.724050247"
"a8","0.692041138","1.244463834","0.958790333","0.924452693","1.366632617","0.818348877"
"a9","1.366875863","1.501712773","1.720985265","0.860214113","1.637006826","1.028542199"
"a10","1.617866087","1.704765551","1.271885507","1.096667105","1.349836587","0.766268612"
"a11","1.353009623","1.216330883","1.137060373","1.430504955","1.853354104","1.277556796"
"a12","0.075141356","0.313565991","0.390537946","0.631051557","0.360166438","0.507915652"
"a13","1.276502883","0.920147108","1.024155209","1.102284631","1.846037114","0.988760638"
"a14","1.029597164","0.972212442","1.555773021","1.353238443","2.239832753","1.164427427"
"a15","1.49300329","1.658576773","1.569665554","1.089094013","1.677195129","1.310166361"
"a16","1.257359732","1.227232495","1.2115948","0.782746287","2.473584246","0.938623335"
"a17","0.411712782","0.11196752","0.243287823","0.243009465","0.739884716","0.246309666"
"a18","0.942185011","0.469160815","0.746702412","0.854709584","0.956963689","0.893305963"
"a19","0.616960553","0.32383995","0.619606763","0.702097418","0.509051825","0.714082707"
"a20","0.119851668","0.103664661","0.052688313","0.117994652","0.117671468","0.099907295"
"a21","0.276982335","0.394723853","0.14566648","0.207217388","0.258038572","0.230545905"
"a22","0.27190834","0.171268613","0.039067266","0.123008737","0.185224526","0.187773688"
"a23","0.391725622","0.983148539","0.287549704","0.351991335","0.293022607","0.20173905"
"a24","0.651587735","2.402015675","0.420447222","0.395130092","0.538129921","0.428623506"
"a25","0.173201808","0.785643333","0.380514591","0.193373441","0.206448371","0.090369889"
"a26","0.489169407","0.879862154","1.062019052","0.59857671","0.546111703","0.351881199"
"a27","0.02217051","0.126550083","0.020141719","0.050556613","0.009621347","0.003091835"
"a28","0.046092207","0.259242008","0.073489911","0.045458369","0.039000818","0.012048455"
"a29","1.431626803","0.924261265","0.869377908","1.692218919","0.724080259","0.898713554"
"a30","0.791773339","0.394306577","0.780687082","1.815570133","1.165926777","0.717700043"
"a31","1.513250515","0.696660787","0.192952599","1.317640762","0.48933353","1.005730838"
"a32","1.406121435","1.00761948","1.651178532","2.022546834","0.539412621","1.169047545"
"a33","0.799541044","0.766959831","0.673436737","0.727725169","0.676587515","0.708147857"
"a34","1.830597848","1.287526595","1.762299514","2.223727359","0.769652572","1.104050192"
"a35","0.839804851","0.582112492","0.568621862","1.20744732","0.738982911","0.562991375"
"a36","1.234944919","0.98903563","0.90314024","0.910957545","1.347111856","0.874143456"
"a37","1.403340529","0.656427818","1.007802068","1.358051719","0.674826715","0.830394735"
"a38","1.448666218","1.184085178","1.538642236","1.129401903","0.807550035","0.837890993"
"a39","1.375566698","1.308536162","1.140425961","1.740390866","1.051639298","1.306123777"
"a40","1.448416936","1.269823925","1.425352305","2.871555598","1.441990916","1.766599314"
"a41","1.034137675","0.838598208","1.610245422","1.522938501","1.013964405","1.033835835"
"a42","1.033700476","0.976805658","0.860637741","0.949137023","0.70473085","0.705948714"
"a43","1.282279388","0.76118013","0.947371921","1.11780609","1.525346793","1.117316609"
"a44","2.24996422","1.79586499","1.690576077","1.651301022","0.809692361","1.69513878"
"a45","1.867125973","1.351146962","1.25977211","3.051830417","1.997573951","1.782107301"
"a46","2.098472897","1.695576848","1.683765923","1.466193439","0.80034275","1.468581673"
"a47","1.120407328","1.032454675","0.426712158","2.724160341","1.641325223","1.240356374"
"a48","1.459958813","0.33014248","1.245308567","1.401418481","2.011773943","1.990227728"
"a49","1.45893516","1.079375924","1.175771229","2.616318808","1.53644398","1.98569004"
"a50","2.552050507","1.393863519","1.606094571","1.4784393","1.181708494","1.434760215"
"a51","1.388596417","0.594247979","0.997040171","3.136375533","1.69322221","1.657690814"
"a52","1.208084822","0.433626467","0.390923235","1.269342893","0.976234615","1.39191527"
"a53","1.077633198","0.841177645","0.848625533","2.555307101","1.34335574","1.504363133"
"a54","0.477373961","0.100818881","0.358013244","0.609337669","0.341709887","0.341386257"
"a55","0.592553437","0.3916907","0.378470333","0.889359001","0.464782134","0.557966224"
"a56","0.507594993","0.318543932","0.320171502","0.527214043","0.205259567","0.277276452"
"a57","0.193480375","0.295879797","0.075090698","0.131325367","0.141724107","0.059710367"
"a58","0.301850292","0.66526664","0.188298235","0.230570257","0.476640127","0.110871417"
"a59","0.166511166","0.246254605","0.089658689","0.139911725","0.185067574","0.07368727"
"a60","0.42731718","0.943432646","0.716176647","0.430212315","0.676780871","0.249849412"
"a61","0.039337934","0.041236013","0.004216747","0.054341592","0.014867037","0.020540986"
